# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LIA1	YJR070C	YJR070C	protein_coding	0	4	6	80	0	0	0	0	25	0	0	0	6	0	0	0	0	0	0	0	0	4	55
LIF1	YGL090W	YGL090W	protein_coding	0	0	3	44	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	0	19
LIN1	YHR156C	YHR156C	protein_coding	0	3	3	58	0	0	0	0	36	0	0	0	3	0	0	0	0	0	0	0	0	3	22
LIP1	YMR298W	YMR298W	protein_coding	0	2	2	88	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	2	59
LIP2	YLR239C	YLR239C	protein_coding	0	3	2	112	0	0	0	0	59	0	0	0	2	0	0	0	0	0	0	0	0	3	53
LIP5	YOR196C	YOR196C	protein_coding	0	3	3	61	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	3	47
LNP1	YHR192W	YHR192W	protein_coding	0	2	0	54	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2	30
LOA1	YPR139C	YPR139C	protein_coding	0	0	1	27	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	15
LOC1	YFR001W	YFR001W	protein_coding	1	3	2	83	0	0	0	0	38	1	0	0	2	0	0	0	0	0	0	0	0	3	45
LOH1	YJL038C	YJL038C	protein_coding	0	1	6	97	0	0	0	0	42	0	0	0	6	0	0	0	0	0	0	0	0	1	55
LOS1	YKL205W	YKL205W	protein_coding	0	6	10	90	0	0	0	0	27	0	0	0	10	0	0	0	0	0	0	0	0	6	63
LOT5	YKL183W	YKL183W	protein_coding	0	4	9	80	0	0	0	0	39	0	0	0	9	0	0	0	0	0	0	0	0	4	41
LOT6	YLR011W	YLR011W	protein_coding	0	2	0	45	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	25
LPD1	YFL018C	YFL018C	protein_coding	0	18	1	137	0	0	0	0	70	0	0	0	1	0	0	0	0	0	0	0	0	18	67
LPL1	YOR059C	YOR059C	protein_coding	0	5	4	105	0	0	0	0	52	0	0	0	4	0	0	0	0	0	0	0	0	5	53
LPP1	YDR503C	YDR503C	protein_coding	0	4	4	136	0	0	0	0	62	0	0	0	4	0	0	0	0	0	0	0	0	4	74
LPX1	YOR084W	YOR084W	protein_coding	0	5	6	111	0	0	0	0	54	0	0	0	6	0	0	0	0	0	0	0	0	5	57
LRE1	YCL051W	YCL051W	protein_coding	0	3	10	42	0	0	0	0	19	0	0	0	10	0	0	0	0	0	0	0	0	3	23
LRG1	YDL240W	YDL240W	protein_coding	0	3	8	51	0	0	0	0	21	0	0	0	8	0	0	0	0	0	0	0	0	3	30
LRO1	YNR008W	YNR008W	protein_coding	0	2	6	49	0	0	0	0	31	0	0	0	6	0	0	0	0	0	0	0	0	2	18
LRP1	YHR081W	YHR081W	protein_coding	0	0	2	38	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	0	17
LRS4	YDR439W	YDR439W	protein_coding	0	0	0	71	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	34
LSB1	YGR136W	YGR136W	protein_coding	0	5	2	36	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	0	5	13
LSB3	YFR024C-A	YFR024C-A	protein_coding	0	2	2	90	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	0	2	51
LSB5	YCL034W	YCL034W	protein_coding	0	1	6	41	0	0	0	0	19	0	0	0	6	0	0	0	0	0	0	0	0	1	22
LSB6	YJL100W	YJL100W	protein_coding	1	1	16	36	0	0	0	0	13	0	0	0	16	0	0	0	0	0	1	0	0	1	23
LSC1	YOR142W	YOR142W	protein_coding	1	5	3	65	0	0	0	0	15	0	0	0	3	0	0	0	0	1	0	0	0	5	50
LSC2	YGR244C	YGR244C	protein_coding	0	2	2	57	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	2	30
LSG1	YGL099W	YGL099W	protein_coding	0	3	9	64	0	0	0	0	31	0	0	0	9	0	0	0	0	0	0	0	0	3	33
LSM1	YJL124C	YJL124C	protein_coding	0	0	1	79	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	0	45
LSM12	YHR121W	YHR121W	protein_coding	0	2	2	26	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	2	16
LSM2	YBL026W	YBL026W	protein_coding	0	0	0	111	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	0	0	0	60
LSM3	YLR438C-A	YLR438C-A	protein_coding	0	1	0	75	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	38
LSM4	YER112W	YER112W	protein_coding	0	1	5	45	0	0	0	0	23	0	0	0	5	0	0	0	0	0	0	0	0	1	22
LSM5	YER146W	YER146W	protein_coding	0	0	0	65	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	36
LSM6	YDR378C	YDR378C	protein_coding	0	0	2	36	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	0	15
LSM7	YNL147W	YNL147W	protein_coding	0	0	0	55	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	29
LSM8	YJR022W	YJR022W	protein_coding	0	0	0	69	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	50
LSO1	YJR005C-A	YJR005C-A	protein_coding	0	2	1	73	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	2	51
LSO2	YGR169C-A	YGR169C-A	protein_coding	0	0	0	61	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	27
LSP1	YPL004C	YPL004C	protein_coding	0	1	1	48	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	1	20
LSR1	LSR1	LSR1	snRNA	0	0	0	115	0	0	0	0	50	0	0	0	0	11	0	0	0	0	0	0	0	0	54
LST4	YKL176C	YKL176C	protein_coding	0	10	6	88	0	0	0	0	46	0	0	0	6	0	0	0	0	0	0	0	0	10	42
LST7	YGR057C	YGR057C	protein_coding	0	0	0	52	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	26
LST8	YNL006W	YNL006W	protein_coding	1	2	3	74	0	0	0	0	39	1	0	0	3	0	0	0	0	0	0	0	0	2	35
LTE1	YAL024C	YAL024C	protein_coding	0	2	2	45	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	2	26
LTO1	YNL260C	YNL260C	protein_coding	1	3	1	28	0	0	0	0	17	1	0	0	1	0	0	0	0	0	0	0	0	3	11
LTP1	YPR073C	YPR073C	protein_coding	0	0	0	49	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	37
LTV1	YKL143W	YKL143W	protein_coding	1	9	3	104	0	0	0	0	67	1	0	0	3	0	0	0	0	0	0	0	0	9	37
LUC7	YDL087C	YDL087C	protein_coding	0	6	5	102	0	0	0	0	52	0	0	0	5	0	0	0	0	0	0	0	0	6	50
LYP1	YNL268W	YNL268W	protein_coding	0	2	7	35	0	0	0	0	16	0	0	0	7	0	0	0	0	0	0	0	0	2	19
LYS1	YIR034C	YIR034C	protein_coding	1	13	5	113	0	0	0	0	46	0	0	0	5	0	0	0	0	1	0	0	0	13	67
LYS12	YIL094C	YIL094C	protein_coding	0	0	4	99	0	0	0	0	35	0	0	0	4	0	0	0	0	0	0	0	0	0	64
LYS14	YDR034C	YDR034C	protein_coding	0	2	1	33	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	2	10
LYS2	YBR115C	YBR115C	protein_coding	0	22	19	87	0	0	0	0	54	0	0	0	19	0	0	0	0	0	0	0	0	22	33
LYS20	YDL182W	YDL182W	protein_coding	0	4	4	73	0	0	0	0	33	0	0	0	4	0	0	0	0	0	0	0	0	4	40
LYS21	YDL131W	YDL131W	protein_coding	0	9	3	97	0	0	0	0	54	0	0	0	3	0	0	0	0	0	0	0	0	9	43
LYS4	YDR234W	YDR234W	protein_coding	0	3	11	68	0	0	0	0	29	0	0	0	11	0	0	0	0	0	0	0	0	3	39
LYS5	YGL154C	YGL154C	protein_coding	0	2	7	87	0	0	0	0	46	0	0	0	7	0	0	0	0	0	0	0	0	2	41
LYS9	YNR050C	YNR050C	protein_coding	0	3	8	48	0	0	0	0	23	0	0	0	8	0	0	0	0	0	0	0	0	3	25
MAC1	YMR021C	YMR021C	protein_coding	0	1	2	47	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	1	29
MAD1	YGL086W	YGL086W	protein_coding	0	2	5	56	0	0	0	0	33	0	0	0	5	0	0	0	0	0	0	0	0	2	23
MAD2	YJL030W	YJL030W	protein_coding	0	3	0	71	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	3	34
MAD3	YJL013C	YJL013C	protein_coding	0	7	11	73	0	0	0	0	47	0	0	0	11	0	0	0	0	0	0	0	0	7	26
MAE1	YKL029C	YKL029C	protein_coding	0	20	8	123	0	0	0	0	60	0	0	0	8	0	0	0	0	0	0	0	0	20	63
MAF1	YDR005C	YDR005C	protein_coding	0	0	2	57	0	0	0	0	28	0	0	2	2	0	0	0	0	0	0	0	0	0	27
MAG1	YER142C	YER142C	protein_coding	0	1	3	42	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	1	25
MAG2	YLR427W	YLR427W	protein_coding	0	4	7	62	0	0	0	0	25	0	0	0	7	0	0	0	0	0	0	0	0	4	37
MAK10	YEL053C	YEL053C	protein_coding	0	2	4	84	0	0	0	0	41	0	0	0	4	0	0	0	0	0	0	0	0	2	43
MAK11	YKL021C	YKL021C	protein_coding	0	8	6	96	0	0	0	0	54	0	0	0	6	0	0	0	0	0	0	0	0	8	42
MAK16	YAL025C	YAL025C	protein_coding	0	4	3	21	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	4	11
MAK21	YDR060W	YDR060W	protein_coding	0	6	7	66	0	0	0	0	33	0	0	0	7	0	0	0	0	0	0	0	0	6	33
MAK3	YPR051W	YPR051W	protein_coding	0	1	3	39	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	1	20
MAK31	YCR020C-A	YCR020C-A	protein_coding	0	0	0	44	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	30
MAK32	YCR019W	YCR019W	protein_coding	0	1	2	44	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	1	24
MAK5	YBR142W	YBR142W	protein_coding	0	17	6	130	0	0	0	0	65	0	0	0	6	0	0	0	0	0	0	0	0	17	65
MAL11	YGR289C	YGR289C	protein_coding	1	10	24	91	0	0	0	0	67	1	0	0	24	0	0	0	0	0	0	0	0	10	24
MAL12	YGR292W	YGR292W	protein_coding	0	2	1	112	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	2	86
MAL13	YGR288W	YGR288W	protein_coding	1	5	8	165	0	0	0	0	84	0	0	0	8	0	0	0	0	0	1	0	0	5	81
MAL31	YBR298C	YBR298C	protein_coding	1	9	19	112	0	0	0	0	50	0	0	0	19	0	0	0	0	0	1	0	0	9	62
MAL32	YBR299W	YBR299W	protein_coding	0	2	3	132	0	0	0	0	47	0	0	0	3	0	0	0	0	0	0	0	0	2	85
MAL33	YBR297W	YBR297W	protein_coding	0	5	21	91	0	0	0	0	64	0	0	0	21	0	0	0	0	0	0	0	0	5	27
MAM1	YER106W	YER106W	protein_coding	0	1	3	66	0	0	0	0	35	0	0	0	3	0	0	0	0	0	0	0	0	1	31
MAM3	YOL060C	YOL060C	protein_coding	0	11	17	112	0	0	0	0	71	0	0	0	17	0	0	0	0	0	0	0	0	11	41
MAM33	YIL070C	YIL070C	protein_coding	0	0	0	25	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	15
MAP1	YLR244C	YLR244C	protein_coding	0	4	3	91	0	0	0	0	45	0	0	0	3	0	0	0	0	0	0	0	0	4	46
MAP2	YBL091C	YBL091C	protein_coding	0	4	4	44	0	0	0	0	27	0	0	0	4	0	0	0	0	0	0	0	0	4	17
MAS1	YLR163C	YLR163C	protein_coding	0	2	6	65	0	0	0	0	33	0	0	0	6	0	0	0	0	0	0	0	0	2	32
MAS2	YHR024C	YHR024C	protein_coding	1	8	7	99	0	0	0	0	50	1	0	0	7	0	0	0	0	0	0	0	0	8	49
MATALPHA1	YCR040W	YCR040W	protein_coding	0	0	0	35	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	11
MATALPHA2	YCR039C	YCR039C	protein_coding	0	0	0	39	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	24
MBA1	YBR185C	YBR185C	protein_coding	0	7	0	98	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	7	54
MBB1	YJL199C	YJL199C	protein_coding	0	3	2	100	0	0	0	0	47	0	0	0	2	0	0	0	0	0	0	0	0	3	53
MBF1	YOR298C-A	YOR298C-A	protein_coding	0	0	0	44	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	21
MBP1	YDL056W	YDL056W	protein_coding	1	5	4	27	0	0	0	0	20	0	0	0	4	0	0	0	0	0	1	0	0	5	7
MBR1	YKL093W	YKL093W	protein_coding	0	6	6	97	0	0	0	0	41	0	0	0	6	0	0	0	0	0	0	0	0	6	56
MCA1	YOR197W	YOR197W	protein_coding	1	11	10	49	0	0	0	0	29	0	0	0	10	0	0	0	0	0	1	0	0	11	20
MCD1	YDL003W	YDL003W	protein_coding	0	6	8	84	0	0	0	0	45	0	0	0	8	0	0	0	0	0	0	0	0	6	39
MCD4	YKL165C	YKL165C	protein_coding	0	11	4	108	0	0	0	0	47	0	0	0	4	0	0	0	0	0	0	0	0	11	61
MCH1	YDL054C	YDL054C	protein_coding	0	0	7	53	0	0	0	0	20	0	0	0	7	0	0	0	0	0	0	0	0	0	33
MCH2	YKL221W	YKL221W	protein_coding	0	4	12	100	0	0	0	0	63	0	0	0	12	0	0	0	0	0	0	0	0	4	37
MCH4	YOL119C	YOL119C	protein_coding	0	4	5	131	0	0	0	0	77	0	0	0	5	0	0	0	0	0	0	0	0	4	54
MCH5	YOR306C	YOR306C	protein_coding	0	7	10	67	0	0	0	0	44	0	0	0	10	0	0	0	0	0	0	0	0	7	23
MCK1	YNL307C	YNL307C	protein_coding	0	1	2	53	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	1	33
MCM1	YMR043W	YMR043W	protein_coding	0	1	3	39	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	1	29
MCM10	YIL150C	YIL150C	protein_coding	1	4	5	75	0	0	0	0	38	1	0	0	5	0	0	0	0	0	0	0	0	4	37
MCM16	YPR046W	YPR046W	protein_coding	0	0	5	48	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	0	0	0	30
MCM2	YBL023C	YBL023C	protein_coding	0	17	3	85	0	0	0	0	46	0	0	0	3	0	0	0	0	0	0	0	0	17	39
MCM21	YDR318W	YDR318W	protein_coding	2	2	6	58	0	0	0	0	43	0	0	0	6	0	0	0	0	0	2	0	0	2	15
MCM22	YJR135C	YJR135C	protein_coding	0	1	2	65	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	1	36
MCM3	YEL032W	YEL032W	protein_coding	1	7	18	66	0	0	0	0	23	0	0	0	18	0	0	0	0	0	1	0	0	7	43
MCM4	YPR019W	YPR019W	protein_coding	0	3	7	50	0	0	0	0	26	0	0	0	7	0	0	0	0	0	0	0	0	3	24
MCM5	YLR274W	YLR274W	protein_coding	0	23	5	116	0	0	0	0	36	0	0	0	5	0	0	0	0	0	0	0	0	23	80
MCM6	YGL201C	YGL201C	protein_coding	0	17	13	119	0	0	0	0	41	0	0	0	13	0	0	0	0	0	0	0	0	17	78
MCM7	YBR202W	YBR202W	protein_coding	0	14	5	113	0	0	0	0	58	0	0	0	5	0	0	0	0	0	0	0	0	14	55
MCP1	YOR228C	YOR228C	protein_coding	0	2	5	74	0	0	0	0	52	0	0	0	5	0	0	0	0	0	0	0	0	2	22
MCP2	YLR253W	YLR253W	protein_coding	0	8	4	62	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	0	0	8	24
MCR1	YKL150W	YKL150W	protein_coding	0	0	3	58	0	0	0	0	31	0	0	0	3	0	0	0	0	0	0	0	0	0	27
MCT1	YOR221C	YOR221C	protein_coding	1	3	6	65	0	0	0	0	20	0	0	0	6	0	0	0	0	0	1	0	0	3	45
MCX1	YBR227C	YBR227C	protein_coding	0	2	3	109	0	0	0	0	57	0	0	0	3	0	0	0	0	0	0	0	0	2	52
MDE1	YJR024C	YJR024C	protein_coding	1	3	4	60	0	0	0	0	49	0	0	0	4	0	0	0	1	0	0	1	0	3	11
MDG1	YNL173C	YNL173C	protein_coding	0	3	3	57	0	0	0	0	32	0	0	0	3	0	0	0	0	0	0	0	0	3	25
MDH1	YKL085W	YKL085W	protein_coding	0	4	1	47	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	4	36
MDH2	YOL126C	YOL126C	protein_coding	0	3	4	80	0	0	0	0	53	0	0	0	4	0	0	0	0	0	0	0	0	3	27
MDH3	YDL078C	YDL078C	protein_coding	0	3	3	63	0	0	0	0	38	0	0	0	3	0	0	0	0	0	0	0	0	3	25
MDJ1	YFL016C	YFL016C	protein_coding	0	7	5	115	0	0	0	0	79	0	0	0	5	0	0	0	0	0	0	0	0	7	36
MDJ2	YNL328C	YNL328C	protein_coding	1	4	2	162	0	0	0	0	73	1	0	0	2	0	0	0	0	0	0	0	0	4	89
MDL1	YLR188W	YLR188W	protein_coding	1	13	11	66	0	0	0	0	31	0	0	0	11	0	0	0	0	0	1	0	0	13	35
MDL2	YPL270W	YPL270W	protein_coding	0	4	12	49	0	0	0	0	14	0	0	0	12	0	0	0	0	0	0	0	0	4	35
MDM1	YML104C	YML104C	protein_coding	1	13	14	83	0	0	0	0	49	0	0	0	14	0	0	0	0	0	1	0	0	13	34
MDM10	YAL010C	YAL010C	protein_coding	0	4	7	90	0	0	0	0	47	0	0	0	7	0	0	0	0	0	0	0	0	4	43
MDM12	YOL009C	YOL009C	protein_coding	0	2	5	61	0	0	0	0	33	0	0	0	5	0	0	0	0	0	0	0	0	2	28
MDM20	YOL076W	YOL076W	protein_coding	1	1	2	55	0	0	0	0	21	0	0	0	2	0	0	0	0	0	1	0	0	1	34
MDM30	YLR368W	YLR368W	protein_coding	0	5	5	76	0	0	0	0	37	0	0	0	5	0	0	0	0	0	0	0	0	5	39
MDM31	YHR194W	YHR194W	protein_coding	0	2	10	34	0	0	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	2	22
MDM32	YOR147W	YOR147W	protein_coding	0	5	10	111	0	0	0	0	61	0	0	0	10	0	0	0	0	0	0	0	0	5	50
MDM34	YGL219C	YGL219C	protein_coding	0	2	4	92	0	0	0	0	48	0	0	0	4	0	0	0	0	0	0	0	0	2	44
MDM35	YKL053C-A	YKL053C-A	protein_coding	0	1	1	50	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	1	22
MDM36	YPR083W	YPR083W	protein_coding	0	1	0	45	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	22
MDM38	YOL027C	YOL027C	protein_coding	1	3	7	61	0	0	0	0	33	1	0	0	7	0	0	0	0	0	0	0	0	3	28
MDN1	YLR106C	YLR106C	protein_coding	0	15	39	44	0	0	0	0	24	0	0	0	39	0	0	0	0	0	0	0	0	15	20
MDR1	YGR100W	YGR100W	protein_coding	0	7	4	45	0	0	0	0	28	0	0	0	4	0	0	0	0	0	0	0	0	7	17
MDS3	YGL197W	YGL197W	protein_coding	0	35	24	126	0	0	0	0	59	0	0	0	24	0	0	0	0	0	0	0	0	35	67
MDV1	YJL112W	YJL112W	protein_coding	0	5	7	40	0	0	0	0	27	0	0	0	7	0	0	0	0	0	0	0	0	5	13
MDY2	YOL111C	YOL111C	protein_coding	0	3	5	96	0	0	0	0	45	0	0	0	5	0	0	0	0	0	0	0	0	3	51
MEC1	YBR136W	YBR136W	protein_coding	2	32	16	104	0	0	0	0	52	0	0	0	16	0	0	0	1	0	1	1	0	32	52
MEC3	YLR288C	YLR288C	protein_coding	0	21	9	137	0	0	0	0	70	0	0	0	9	0	0	0	0	0	0	0	0	21	67
MED1	YPR070W	YPR070W	protein_coding	0	2	3	34	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	2	27
MED11	YMR112C	YMR112C	protein_coding	0	4	4	100	0	0	0	0	50	0	0	0	4	0	0	0	0	0	0	0	0	4	50
MED2	YDL005C	YDL005C	protein_coding	0	6	7	83	0	0	0	0	44	0	0	0	7	0	0	0	0	0	0	0	0	6	39
MED4	YOR174W	YOR174W	protein_coding	1	0	2	49	0	0	0	0	25	0	0	0	2	0	0	0	0	1	0	0	0	0	24
MED6	YHR058C	YHR058C	protein_coding	0	9	11	60	0	0	0	0	22	0	0	0	11	0	0	0	0	0	0	0	0	9	38
MED7	YOL135C	YOL135C	protein_coding	0	3	4	93	0	0	0	0	42	0	0	0	4	0	0	0	0	0	0	0	0	3	51
MED8	YBR193C	YBR193C	protein_coding	0	2	5	106	0	0	0	0	49	0	0	0	5	0	0	0	0	0	0	0	0	2	57
MEF1	YLR069C	YLR069C	protein_coding	0	15	8	81	0	0	0	0	35	0	0	0	8	0	0	0	0	0	0	0	0	15	46
MEF2	YJL102W	YJL102W	protein_coding	1	1	6	55	0	0	0	0	27	1	0	0	6	0	0	0	0	0	0	0	0	1	28
MEH1	YKR007W	YKR007W	protein_coding	0	0	0	40	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	21
MEI4	YER044C-A	YER044C-A	protein_coding	0	1	3	114	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	0	1	74
MEI5	YPL121C	YPL121C	protein_coding	1	0	1	31	0	0	0	0	20	1	0	0	1	0	0	0	0	0	0	0	0	0	11
MEK1	YOR351C	YOR351C	protein_coding	0	7	4	44	0	0	0	0	19	0	0	0	4	0	0	0	0	0	0	0	0	7	25
MEP1	YGR121C	YGR121C	protein_coding	0	4	4	43	0	0	0	0	22	0	0	0	4	0	0	0	0	0	0	0	0	4	21
MEP2	YNL142W	YNL142W	protein_coding	1	11	8	46	0	0	0	0	14	0	0	0	8	0	0	0	0	0	1	0	0	11	32
MEP3	YPR138C	YPR138C	protein_coding	0	2	3	19	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	2	16
MER1	YNL210W	YNL210W	protein_coding	0	0	3	69	0	0	0	0	38	0	0	0	3	0	0	0	0	0	0	0	0	0	31
MES1	YGR264C	YGR264C	protein_coding	0	1	6	40	0	0	0	0	16	0	0	0	6	0	0	0	0	0	0	0	0	1	24
MET1	YKR069W	YKR069W	protein_coding	1	13	10	112	0	0	0	0	45	0	0	0	10	0	0	0	0	0	1	0	0	13	67
MET10	YFR030W	YFR030W	protein_coding	1	8	11	47	0	0	0	0	15	0	0	0	11	0	0	0	0	0	1	0	0	8	32
MET12	YPL023C	YPL023C	protein_coding	0	10	8	123	0	0	0	0	63	0	0	0	8	0	0	0	0	0	0	0	0	10	60
MET13	YGL125W	YGL125W	protein_coding	0	4	7	46	0	0	0	0	24	0	0	0	7	0	0	0	0	0	0	0	0	4	22
MET14	YKL001C	YKL001C	protein_coding	0	2	1	41	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	2	18
MET16	YPR167C	YPR167C	protein_coding	0	1	2	49	0	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	1	21
MET17	YLR303W	YLR303W	protein_coding	0	9	9	78	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	9	43
MET18	YIL128W	YIL128W	protein_coding	0	7	10	43	0	0	0	0	27	0	0	0	10	0	0	0	0	0	0	0	0	7	16
MET2	YNL277W	YNL277W	protein_coding	0	0	7	48	0	0	0	0	25	0	0	0	7	0	0	0	0	0	0	0	0	0	23
MET22	YOL064C	YOL064C	protein_coding	0	7	6	121	0	0	0	0	52	0	0	0	6	0	0	0	0	0	0	0	0	7	69
MET28	YIR017C	YIR017C	protein_coding	0	0	2	101	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	74
MET3	YJR010W	YJR010W	protein_coding	0	7	9	101	0	0	0	0	52	0	0	0	9	0	0	0	0	0	0	0	0	7	49
MET30	YIL046W	YIL046W	protein_coding	0	11	11	111	0	0	0	0	52	0	0	0	11	0	0	0	0	0	0	0	0	11	59
MET31	YPL038W	YPL038W	protein_coding	0	2	2	100	0	0	0	0	59	0	0	0	2	0	0	0	0	0	0	0	0	2	41
MET32	YDR253C	YDR253C	protein_coding	0	1	2	53	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	0	1	20
MET4	YNL103W	YNL103W	protein_coding	0	1	5	52	0	0	0	0	23	0	0	0	5	0	0	0	0	0	0	0	0	1	29
MET5	YJR137C	YJR137C	protein_coding	1	6	16	65	0	0	0	0	35	0	0	0	16	0	0	0	0	0	1	0	0	6	30
MET6	YER091C	YER091C	protein_coding	0	0	15	52	0	0	0	0	27	0	0	0	15	0	0	0	0	0	0	0	0	0	25
MET7	YOR241W	YOR241W	protein_coding	1	0	4	46	0	0	0	0	27	1	0	0	4	0	0	0	0	0	0	0	0	0	19
MET8	YBR213W	YBR213W	protein_coding	0	6	5	92	0	0	0	0	45	0	0	0	5	0	0	0	0	0	0	0	0	6	47
MEU1	YLR017W	YLR017W	protein_coding	0	1	4	46	0	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	0	1	29
MEX67	YPL169C	YPL169C	protein_coding	0	2	6	77	0	0	0	0	47	0	0	0	6	0	0	0	0	0	0	0	0	2	30
MF(ALPHA)1	YPL187W	YPL187W	protein_coding	0	1	1	42	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	1	28
MF(ALPHA)2	YGL089C	YGL089C	protein_coding	0	0	4	40	0	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	0	0	23
MFA1	YDR461W	YDR461W	protein_coding	0	1	0	47	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	16
MFA2	YNL145W	YNL145W	protein_coding	0	0	0	59	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	27
MFB1	YDR219C	YDR219C	protein_coding	0	3	0	33	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3	19
MFG1	YDL233W	YDL233W	protein_coding	0	4	2	42	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	4	21
MFM1	YPL060W	YPL060W	protein_coding	0	6	4	43	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	6	36
MFT1	YML062C	YML062C	protein_coding	0	0	2	60	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	0	0	27
MGA1	YGR249W	YGR249W	protein_coding	0	9	6	126	0	0	0	0	59	0	0	0	6	0	0	0	0	0	0	0	0	9	67
MGA2	YIR033W	YIR033W	protein_coding	0	15	14	112	0	0	0	0	59	0	0	0	14	0	0	0	0	0	0	0	0	15	53
